Offset,Data Run 1,Data Run 2,Data Run 3,,Erronous data,
-0.4,22-03-2019 12:38:29 Org,22-03-2019 13:17:56 Org,,,22-03-2019 13:27:38,Dip in encoder value 35.4 seconds
-0.35,22-03-2019 12:40:21 Org,22-03-2019 13:20:10 Org,,,,
-0.3,22-03-2019 12:42:41 Org,22-03-2019 13:23:52 Org,,,,
-0.25,22-03-2019 12:44:41 Org,22-03-2019 13:25:41 Org,,,,
-0.2,22-03-2019 12:48:20 Org,22-03-2019 13:32:57 Org,,,,
-0.15,22-03-2019 12:53:09 Org,22-03-2019 13:34:34 Org,,,,
-0.1,22-03-2019 12:54:47 Org,22-03-2019 13:38:02 Org,,,,
-0.05,22-03-2019 12:57:57 Org,22-03-2019 13:42:33 Org,,,,
0,22-03-2019 12:59:44 Org,22-03-2019 13:46:34 Org,,,,
0.05,22-03-2019 13:02:33 Org,22-03-2019 13:50:32 Org,,,,
0.1,22-03-2019 13:08:10 Org,22-03-2019 13:52:48 Org,,,,
0.15,22-03-2019 13:10:11 Org,22-03-2019 13:58:30 Org,,,,
0.2,22-03-2019 13:13:07 Org,22-03-2019 14:00:36 Org,,,,
