t	x1	y1	x2	y2	x3	y3

0.02	1.37695e-05	2.5	0.494341	2.5751	-0.494313	2.4249
0.04	0.000109941	2.5	0.477674	2.6481	-0.477455	2.3519
0.06	0.000369977	2.5	0.45083	2.71699	-0.45009	2.28301
0.08	0.000873472	2.5	0.415069	2.78007	-0.413322	2.21992
0.1	0.00169724	2.5	0.371996	2.83597	-0.368601	2.16402
0.12	0.00291441	2.5	0.323446	2.88374	-0.317617	2.11625
0.14	0.00459359	2.5	0.271365	2.92288	-0.262178	2.07711
0.16	0.00679803	2.49999	0.217696	2.95334	-0.2041	2.04665
0.18	0.00958483	2.49998	0.164268	2.97545	-0.145098	2.02451
0.2	0.0130043	2.49997	0.112721	2.98992	-0.0867122	2.01001
0.22	0.0170991	2.49994	0.0644429	2.9977	-0.0302448	2.00219
0.24	0.0219039	2.4999	0.0205444	2.9999	0.0232634	1.99991
0.26	0.0274447	2.49985	-0.0181477	2.99777	0.0730371	2.00193
0.28	0.0337382	2.49977	-0.0510717	2.99253	0.118548	2.00702
0.3	0.0407919	2.49967	-0.077897	2.98538	0.159481	2.01396
0.32	0.0486034	2.49953	-0.0984796	2.9774	0.195686	2.02165
0.34	0.0571601	2.49935	-0.112813	2.96957	0.227133	2.02912
0.36	0.0664396	2.49912	-0.120979	2.96266	0.253859	2.03557
0.38	0.0764091	2.49883	-0.123105	2.9573	0.275923	2.04036
0.4	0.0870259	2.49848	-0.119323	2.95392	0.293375	2.04305
0.42	0.0982373	2.49807	-0.109748	2.95276	0.306223	2.04338
0.44	0.109981	2.49758	-0.094458	2.95387	0.31442	2.04129
0.46	0.122185	2.49701	-0.0734903	2.95713	0.317861	2.03689
0.48	0.13477	2.49636	-0.0468512	2.96221	0.316392	2.03052
0.5	0.147647	2.49564	-0.0145339	2.9686	0.309827	2.02267
0.52	0.160718	2.49483	0.023451	2.97562	0.297985	2.01404
0.54	0.173882	2.49395	0.0670366	2.9824	0.280727	2.00549
0.56	0.187028	2.49299	0.116053	2.98793	0.258002	1.99806
0.58	0.200042	2.49198	0.17018	2.99109	0.229903	1.99288
0.6	0.212805	2.49093	0.228899	2.99067	0.19671	1.99119
0.62	0.225194	2.48984	0.29145	2.98543	0.158937	1.99425
0.64	0.237085	2.48873	0.356809	2.97419	0.11736	2.00328
0.66	0.24835	2.48763	0.423671	2.95589	0.0730295	2.01938
0.68	0.258865	2.48656	0.490471	2.92969	0.027259	2.04344
0.7	0.268502	2.48554	0.555418	2.89503	-0.0184127	2.07605
0.72	0.277139	2.48459	0.616564	2.85173	-0.0622865	2.11745
0.74	0.284653	2.48374	0.671898	2.80003	-0.102593	2.16745
0.76	0.290927	2.48301	0.719454	2.74063	-0.1376	2.2254
0.78	0.29585	2.48243	0.757429	2.67464	-0.16573	2.29022
0.8	0.299313	2.48202	0.784304	2.60361	-0.185678	2.36043
0.82	0.301219	2.48179	0.79895	2.52937	-0.196512	2.43421
0.84	0.301474	2.48176	0.800702	2.45398	-0.197754	2.50953
0.86	0.299995	2.48194	0.789409	2.37959	-0.189419	2.58428
0.88	0.296709	2.48233	0.76544	2.30829	-0.172022	2.65637
0.9	0.291552	2.48294	0.729647	2.24196	-0.146543	2.72392
0.92	0.284472	2.48376	0.683299	2.1822	-0.114355	2.78532
0.94	0.275429	2.48478	0.627983	2.13023	-0.0771253	2.83933
0.96	0.264394	2.48598	0.565489	2.0868	-0.0367014	2.88516
0.98	0.251354	2.48733	0.497696	2.05223	0.00501157	2.92244
1	0.236308	2.48881	0.426452	2.02637	0.0461627	2.95124
1.02	0.21927	2.49037	0.353487	2.00872	0.0850525	2.97201
1.04	0.200269	2.49197	0.280332	1.99842	0.120206	2.98551
1.06	0.179351	2.49356	0.208282	1.9944	0.150419	2.99272
1.08	0.156575	2.49509	0.138371	1.99542	0.174779	2.99476
1.1	0.132018	2.49651	0.0713775	2.0002	0.192659	2.99282
1.12	0.105773	2.49776	0.00785389	2.00744	0.203693	2.98808
1.14	0.0779483	2.49878	-0.0518393	2.01592	0.207736	2.98165
1.16	0.0486673	2.49953	-0.107484	2.02453	0.204819	2.97452
1.18	0.0180696	2.49993	-0.158957	2.03232	0.195097	2.96755
1.2	-0.0136908	2.49996	-0.206181	2.0385	0.1788	2.96142
1.22	-0.0464464	2.49957	-0.249086	2.04247	0.156193	2.95667
1.24	-0.0800167	2.49872	-0.287571	2.04383	0.127538	2.9536
1.26	-0.11421	2.49739	-0.321493	2.04238	0.0930732	2.9524
1.28	-0.148824	2.49557	-0.350646	2.03811	0.0529976	2.95302
1.3	-0.183648	2.49325	-0.374768	2.03121	0.00747164	2.95528
1.32	-0.218465	2.49044	-0.393559	2.0221	-0.0433722	2.95878
1.34	-0.253052	2.48716	-0.406697	2.01135	-0.0994072	2.96297
1.36	-0.287183	2.48345	-0.413886	1.99977	-0.16048	2.96713
1.38	-0.320629	2.47935	-0.41489	1.98832	-0.226368	2.97039
1.4	-0.353164	2.47493	-0.409591	1.97812	-0.296738	2.97174
1.42	-0.384562	2.47025	-0.398034	1.97043	-0.371091	2.97006
1.44	-0.414602	2.46538	-0.380481	1.96655	-0.448723	2.96422
1.46	-0.443067	2.46043	-0.357446	1.96781	-0.528687	2.95304
1.48	-0.469747	2.45547	-0.329723	1.97548	-0.60977	2.93546
1.5	-0.494441	2.45062	-0.298387	1.99066	-0.690495	2.91058
1.52	-0.516957	2.44597	-0.264773	2.01422	-0.769141	2.87771
1.54	-0.537113	2.44162	-0.230433	2.04672	-0.843792	2.83652
1.56	-0.554737	2.43768	-0.197054	2.0883	-0.91242	2.78705
1.58	-0.56967	2.43423	-0.166366	2.13869	-0.972974	2.72977
1.6	-0.581765	2.43137	-0.140026	2.19713	-1.0235	2.6656
1.62	-0.590888	2.42917	-0.119501	2.26245	-1.06227	2.59588
1.64	-0.596918	2.42769	-0.105952	2.33307	-1.08788	2.52231
1.66	-0.599747	2.42699	-0.100142	2.40712	-1.09935	2.44687
1.68	-0.599283	2.42711	-0.102366	2.48255	-1.0962	2.37167
1.7	-0.595448	2.42805	-0.112426	2.55724	-1.07847	2.29886
1.72	-0.588179	2.42982	-0.129635	2.62917	-1.04672	2.23048
1.74	-0.577429	2.4324	-0.152873	2.69651	-1.00199	2.16829
1.76	-0.563171	2.43574	-0.180664	2.75775	-0.945677	2.11373
1.78	-0.545391	2.43978	-0.211286	2.81177	-0.879497	2.0678
1.8	-0.524099	2.44445	-0.242886	2.85787	-0.805313	2.03102
1.82	-0.499323	2.44963	-0.273605	2.89578	-0.725042	2.00348
1.84	-0.471113	2.45521	-0.301683	2.92563	-0.640544	1.98479
1.86	-0.439542	2.46106	-0.325548	2.94789	-0.553536	1.97423
1.88	-0.404706	2.46703	-0.343883	2.96331	-0.465528	1.97074
1.9	-0.366727	2.47296	-0.355663	2.97283	-0.377791	1.97308
1.92	-0.325752	2.47869	-0.360161	2.9775	-0.291342	1.97987
1.94	-0.281954	2.48405	-0.356942	2.97839	-0.206966	1.9897
1.96	-0.235534	2.48888	-0.345827	2.97656	-0.12524	2.0012
1.98	-0.186716	2.49302	-0.326855	2.97298	-0.0465779	2.01306
2	-0.135753	2.49631	-0.300228	2.96849	0.0287219	2.02414
2.02	-0.0829189	2.49862	-0.266266	2.9638	0.100428	2.03345
2.04	-0.0285112	2.49984	-0.225353	2.95946	0.16833	2.04021
2.06	0.0271529	2.49985	-0.177902	2.95587	0.232208	2.04383
2.08	0.0837389	2.4986	-0.124318	2.95325	0.291796	2.04394
2.1	0.140898	2.49603	-0.0649787	2.95167	0.346776	2.04038
2.12	0.198273	2.49213	-0.000221111	2.95104	0.396766	2.03321
2.14	0.255496	2.48691	0.0696543	2.95109	0.441339	2.02273
2.16	0.312202	2.48043	0.144372	2.95142	0.480031	2.00944
2.18	0.368022	2.47276	0.223658	2.95147	0.512386	1.99406
2.2	0.422595	2.46402	0.307203	2.95053	0.537987	1.97752
2.22	0.47557	2.45435	0.394626	2.94775	0.556513	1.96095
2.24	0.526604	2.44391	0.485423	2.94221	0.567786	1.94561
2.26	0.575374	2.43289	0.578924	2.93288	0.571824	1.9329
2.28	0.621571	2.4215	0.674251	2.91871	0.56889	1.92428
2.3	0.664904	2.40996	0.770285	2.89873	0.559524	1.92119
2.32	0.705107	2.3985	0.865653	2.87203	0.544561	1.92498
2.34	0.741931	2.38737	0.958734	2.83792	0.525128	1.93682
2.36	0.775148	2.37679	1.04769	2.79598	0.502607	1.9576
2.38	0.804554	2.367	1.13052	2.74614	0.478583	1.98787
2.4	0.829961	2.35821	1.20517	2.68869	0.454751	2.02773
2.42	0.851204	2.35063	1.26959	2.6244	0.432818	2.07685
2.44	0.868132	2.34443	1.32189	2.55444	0.414376	2.13442
2.46	0.880614	2.33977	1.36044	2.48037	0.40079	2.19917
2.48	0.888534	2.33677	1.38398	2.40406	0.393082	2.26948
2.5	0.891789	2.33553	1.39173	2.32762	0.391851	2.34345
2.52	0.890293	2.3361	1.38337	2.25321	0.397212	2.419
2.54	0.883973	2.3385	1.35916	2.18296	0.408783	2.49405
2.56	0.872772	2.34271	1.31983	2.1188	0.425709	2.56661
2.58	0.856647	2.34865	1.26657	2.06236	0.446725	2.63494
2.6	0.835573	2.35623	1.2009	2.01485	0.47025	2.69761
2.62	0.809545	2.3653	1.12459	1.97704	0.494498	2.75356
2.64	0.77858	2.37567	1.03956	1.94919	0.517601	2.80216
2.66	0.742718	2.38713	0.947707	1.93108	0.53773	2.84317
2.68	0.702029	2.39941	0.850864	1.92207	0.553195	2.87674
2.7	0.656614	2.41223	0.750695	1.92116	0.562532	2.9033
2.72	0.606606	2.42529	0.648654	1.92706	0.564559	2.92352
2.74	0.55218	2.43826	0.54596	1.9383	0.5584	2.93822
2.76	0.493548	2.4508	0.4436	1.9533	0.543496	2.9483
2.78	0.430965	2.46257	0.342347	1.97049	0.519582	2.95466
2.8	0.36473	2.47325	0.242804	1.98835	0.486655	2.95816
2.82	0.295184	2.48251	0.145442	2.00546	0.444925	2.95956
2.84	0.22271	2.49006	0.0506534	2.0206	0.394767	2.95952
2.86	0.147733	2.49563	-0.0412039	2.0327	0.33667	2.95856
2.88	0.0707109	2.499	-0.129766	2.04095	0.271187	2.95705
2.9	-0.00786589	2.49999	-0.21463	2.04474	0.198898	2.95523
2.92	-0.0874819	2.49847	-0.295339	2.04372	0.120375	2.95322
2.94	-0.167604	2.49438	-0.37137	2.03778	0.0361619	2.95097
2.96	-0.247687	2.4877	-0.442139	2.02706	-0.0532357	2.94834
2.98	-0.327186	2.4785	-0.507023	2.01196	-0.147349	2.94504
