Time 	Torso x	 Torso y 	Head x 	Head y 	Arm x 	Arm y 	Thigh x 	Thigh y 	Tibia x 	Tibia y 	Foot x 	Foot y	Robot x 	Robot y
0	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.018	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.036	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.054	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.072	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.09	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.108	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.126	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.144	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.162	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.18	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.198	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.216	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.234	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.252	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.27	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.288	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.306	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.324	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.342	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.36	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.378	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.396	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.414	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.432	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.45	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.468	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.486	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.504	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
0.522	-0.0597804	-0.0872317	-0.114081	-0.105226	0.0304208	-0.149047	0.10145	6.21182e-018	0.10145	0.10145	0.10145	0.124045	0	0
