t	x	y
0	0.41937	1.76589
0.04	0.417607	1.7663
0.08	0.412331	1.76754
0.12	0.403581	1.76956
0.16	0.39142	1.77229
0.2	0.375936	1.77564
0.24	0.357245	1.77949
0.28	0.335489	1.78372
0.32	0.310834	1.78819
0.36	0.283477	1.79273
0.4	0.253638	1.79719
0.44	0.221565	1.80143
0.48	0.187529	1.80529
0.52	0.151824	1.80864
0.56	0.114763	1.81137
0.6	0.0766768	1.81338
0.64	0.0379077	1.8146
0.68	-0.00119256	1.815
0.72	-0.0402681	1.81455
0.76	-0.0789635	1.81328
0.8	-0.116928	1.81123
0.84	-0.153822	1.80847
0.88	-0.189317	1.8051
0.92	-0.223103	1.80124
0.96	-0.254891	1.79701
1	-0.284413	1.79258
1.04	-0.311427	1.78808
1.08	-0.335717	1.78368
1.12	-0.357092	1.77953
1.16	-0.375391	1.77576
1.2	-0.390476	1.7725
1.24	-0.402238	1.76987
1.28	-0.410594	1.76795
1.32	-0.415486	1.7668
1.36	-0.416879	1.76648
1.4	-0.414765	1.76697
1.44	-0.409161	1.76828
1.48	-0.400108	1.77035
1.52	-0.38767	1.77311
1.56	-0.37194	1.77648
1.6	-0.353035	1.78033
1.64	-0.331098	1.78454
1.68	-0.306299	1.78897
1.72	-0.278836	1.79345
1.76	-0.24893	1.79785
1.8	-0.216831	1.802
1.84	-0.18281	1.80577
1.88	-0.147162	1.80902
1.92	-0.110201	1.81165
1.96	-0.0722554	1.81356
2	-0.0336674	1.81469
2.04	0.00521293	1.81499
2.08	0.0440321	1.81447
2.12	0.0824374	1.81313
2.16	0.120081	1.81102
2.2	0.156627	1.80823
2.24	0.19175	1.80484
2.28	0.225144	1.80098
2.32	0.256523	1.79678
2.36	0.285625	1.79238
2.4	0.312211	1.78795
2.44	0.336068	1.78362
2.48	0.357011	1.77954
2.52	0.374878	1.77586
2.56	0.389539	1.77271
2.6	0.400886	1.77017
2.64	0.408839	1.76835
2.68	0.413342	1.76731
2.72	0.414364	1.76707
2.76	0.411899	1.76764
2.8	0.405967	1.76902
2.84	0.39661	1.77114
2.88	0.383896	1.77394
2.92	0.36792	1.77732
2.96	0.348801	1.78117
3	0.326684	1.78536
3.04	0.301742	1.78974
3.08	0.274173	1.79417
3.12	0.244202	1.7985
3.16	0.212078	1.80257
3.2	0.178075	1.80624
3.24	0.142487	1.8094
3.28	0.105627	1.81192
3.32	0.067825	1.81373
3.36	0.0294207	1.81476
3.4	-0.00923737	1.81498
3.44	-0.0477978	1.81437
3.48	-0.0859105	1.81297
3.52	-0.123231	1.81081
3.56	-0.159426	1.80798
3.6	-0.194175	1.80458
3.64	-0.227175	1.80073
3.68	-0.258144	1.79655
3.72	-0.286825	1.79219
3.76	-0.312981	1.78781
3.8	-0.336404	1.78355
3.84	-0.356911	1.77956
3.88	-0.374347	1.77598
3.92	-0.388582	1.77292
3.96	-0.399512	1.77048
4	-0.407061	1.76876
4.04	-0.411174	1.76781
4.08	-0.411824	1.76766
4.12	-0.409008	1.76831
4.16	-0.402747	1.76975
4.2	-0.393087	1.77192
4.24	-0.380097	1.77475
4.28	-0.363876	1.77815
4.32	-0.344543	1.782
4.36	-0.322248	1.78616
4.4	-0.297163	1.79051
4.44	-0.269491	1.79488
4.48	-0.239456	1.79913
4.52	-0.207309	1.80312
4.56	-0.173326	1.80671
4.6	-0.137799	1.80976
4.64	-0.101044	1.81219
4.68	-0.0633872	1.81389
4.72	-0.025169	1.81483
4.76	0.0132643	1.81495
4.8	0.0515635	1.81427
4.84	0.0893811	1.8128
4.88	0.126376	1.81059
4.92	0.162218	1.80774
4.96	0.19659	1.80432
5	0.229194	1.80047

